CustomerID,TotalSales,TotalVolume,TotalOrders,ProductsInteractedWith,FirstPurchasedDate,LastPurchasedDate,AOV,ActiveMonths,Country
12346.0,77183.6,74215,1,1,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,1.0,United Kingdom
12347.0,4310.0,2458,7,103,2010-12-07 14:57:00,2011-12-07 15:52:00,615.7142857142857,1.0,Iceland
12348.0,1437.24,2332,4,21,2010-12-16 19:09:00,2011-09-25 13:13:00,359.31,1.0,Finland
12349.0,1457.55,630,1,72,2011-11-21 09:51:00,2011-11-21 09:51:00,1457.55,1.0,Italy
12350.0,294.4,196,1,16,2011-02-02 16:01:00,2011-02-02 16:01:00,294.4,1.0,Norway
12352.0,1385.74,526,7,57,2011-02-16 12:33:00,2011-11-03 14:37:00,197.96285714285713,1.0,Norway
12353.0,89.0,20,1,4,2011-05-19 17:47:00,2011-05-19 17:47:00,89.0,1.0,Bahrain
12354.0,1079.4,530,1,58,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,1.0,Spain
12355.0,459.4,240,1,13,2011-05-09 13:49:00,2011-05-09 13:49:00,459.4,1.0,Bahrain
12356.0,2487.43,1573,3,52,2011-01-18 09:50:00,2011-11-17 08:40:00,829.1433333333333,7.0,Portugal
12357.0,6207.67,2708,1,131,2011-11-06 16:07:00,2011-11-06 16:07:00,6207.67,7.0,Switzerland
12358.0,928.0600000000001,242,2,12,2011-07-12 10:04:00,2011-12-08 10:26:00,464.03000000000003,7.0,Austria
12359.0,6372.58,1622,4,214,2011-01-12 12:43:00,2011-10-13 12:47:00,1593.145,7.0,Cyprus
12360.0,2302.06,1156,3,104,2011-05-23 09:43:00,2011-10-18 15:22:00,767.3533333333334,7.0,Austria
12361.0,174.9,90,1,9,2011-02-25 13:51:00,2011-02-25 13:51:00,174.9,7.0,Belgium
12362.0,4737.23,2197,10,200,2011-02-17 10:30:00,2011-12-06 15:40:00,473.72299999999996,7.0,Belgium
12363.0,552.0,408,2,23,2011-04-11 13:29:00,2011-08-22 10:18:00,276.0,7.0,Unspecified
12364.0,1208.1,1499,4,69,2011-08-19 15:24:00,2011-12-02 10:22:00,302.025,7.0,Belgium
12365.0,320.69,173,1,21,2011-02-21 13:51:00,2011-02-21 13:51:00,320.69,7.0,Cyprus
12367.0,150.9,172,1,10,2011-12-05 16:48:00,2011-12-05 16:48:00,150.9,7.0,Denmark
12370.0,3425.69,2350,4,142,2010-12-14 12:58:00,2011-10-19 14:51:00,856.4225,7.0,Cyprus
12371.0,1527.96,582,1,62,2011-10-11 10:43:00,2011-10-11 10:43:00,1527.96,7.0,Switzerland
12372.0,1196.04,788,3,33,2011-02-16 12:46:00,2011-09-29 12:12:00,398.68,7.0,Denmark
12373.0,324.6,196,1,13,2011-02-01 13:10:00,2011-02-01 13:10:00,324.6,7.0,Austria
12374.0,622.93,339,1,32,2011-11-14 15:37:00,2011-11-14 15:37:00,622.93,7.0,Austria
12375.0,377.5,176,2,13,2011-09-02 14:23:00,2011-11-29 10:36:00,188.75,7.0,Finland
12377.0,1548.12,942,2,71,2010-12-20 09:37:00,2011-01-28 15:45:00,774.06,12.0,Switzerland
12378.0,4008.62,2529,1,219,2011-08-02 10:34:00,2011-08-02 10:34:00,4008.62,12.0,Switzerland
12379.0,777.24,402,2,38,2011-06-22 16:32:00,2011-09-19 10:09:00,388.62,12.0,Belgium
12380.0,2427.81,1110,4,76,2011-06-07 09:49:00,2011-11-18 11:27:00,606.9525,12.0,Belgium
12381.0,1474.81,797,3,69,2011-08-12 09:57:00,2011-12-05 12:44:00,491.6033333333333,12.0,Norway
12383.0,1628.56,1518,5,83,2010-12-22 14:28:00,2011-06-08 08:02:00,325.712,12.0,Belgium
12384.0,425.27000000000004,122,2,25,2011-08-10 11:23:00,2011-11-11 08:39:00,212.63500000000002,12.0,Switzerland
12386.0,401.9,354,2,10,2010-12-08 09:53:00,2011-01-06 12:37:00,200.95,12.0,Australia
