StockCode,NewDescription,TotalSales,TotalVolume,UnitPrice,CustomerInteraction,CountryChannels,FirstPurchasedDate,LastPurchasedDate
10002,INFLATABLE POLITICAL GLOBE ,759.89,860,1.086619718309859,40,7,2010-12-01 08:45:00,2011-04-18 12:56:00
10080,GROOVY CACTUS INFLATABLE,119.08999999999999,303,0.41090909090909095,19,1,2011-02-27 13:47:00,2011-11-21 17:04:00
10120,DOGGY RUBBER,40.53,193,0.21,25,2,2010-12-03 11:19:00,2011-12-04 13:15:00
10123C,HEARTS WRAPPING TAPE ,3.25,5,0.65,3,1,2010-12-03 11:19:00,2011-03-31 13:14:00
10124A,SPOTS ON RED BOOKCOVER TAPE,6.72,16,0.42000000000000004,5,1,2010-12-06 13:13:00,2011-11-06 13:00:00
10124G,ARMY CAMO BOOKCOVER TAPE,7.14,17,0.42,4,1,2010-12-02 13:14:00,2011-11-06 13:00:00
10125,MINI FUNKY DESIGN TAPES,994.84,1296,0.8596808510638299,49,4,2010-12-01 12:23:00,2011-12-09 10:13:00
10133,COLOURING PENCILS BROWN TUBE,1544.22,2867,0.6502020202020202,101,6,2010-12-01 12:15:00,2011-09-07 10:07:00
10135,COLOURING PENCILS BROWN TUBE,2207.39,2231,1.4110614525139664,92,6,2010-12-01 17:06:00,2011-12-08 09:28:00
11001,ASSTD DESIGN RACING CAR PEN,2389.44,1615,1.89,44,8,2010-12-01 14:32:00,2011-12-06 16:26:00
15030,FAN BLACK FRAME ,41.47,143,0.29,11,1,2011-03-24 13:37:00,2011-12-06 12:21:00
15034,PAPER POCKET TRAVELING FAN ,840.0200000000001,6591,0.3739855072463768,70,5,2010-12-05 13:55:00,2011-12-08 09:28:00
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,1.0677649325626204,194,10,2010-12-02 15:03:00,2011-12-09 10:03:00
15039,SANDALWOOD FAN,1979.4899999999998,2091,1.2395890410958903,58,4,2010-12-05 12:43:00,2011-12-09 10:03:00
15044A,PINK PAPER PARASOL ,1456.72,464,3.663009708737864,53,3,2010-12-21 14:26:00,2011-12-05 17:17:00
15044B,BLUE PAPER PARASOL ,946.83,321,3.506666666666667,36,3,2010-12-01 12:54:00,2011-09-28 15:50:00
15044C,PURPLE PAPER PARASOL,1025.94,314,3.841685393258427,43,3,2010-12-06 10:08:00,2011-12-06 14:23:00
15044D,RED PAPER PARASOL,1822.71,645,3.3288235294117645,53,5,2010-12-06 16:57:00,2011-12-05 16:03:00
15056BL,EDWARDIAN PARASOL BLACK,16915.72,2931,7.411148825065275,142,13,2010-12-01 09:41:00,2011-12-09 10:26:00
15056N,EDWARDIAN PARASOL NATURAL,23761.77,4081,7.8,184,13,2010-12-01 09:41:00,2011-12-09 10:20:00
15056P,EDWARDIAN PARASOL PINK,4779.3,811,7.27686046511628,87,9,2010-12-01 16:01:00,2011-12-08 13:50:00
15058A,BLUE POLKADOT GARDEN PARASOL,1668.49,200,9.208988764044944,40,8,2010-12-10 11:11:00,2011-11-23 12:48:00
15058B,PINK POLKADOT GARDEN PARASOL,1885.27,228,9.890927835051546,32,7,2010-12-10 13:27:00,2011-11-17 12:55:00
15058C,ICE CREAM DESIGN GARDEN PARASOL,1429.82,240,9.33361111111111,26,4,2011-02-03 14:41:00,2011-12-09 10:03:00
15060B,FAIRY CAKE DESIGN UMBRELLA,1832.42,454,5.066865671641791,68,8,2010-12-02 14:30:00,2011-11-20 13:58:00
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,2892,0.13614285714285712,54,7,2010-12-09 14:10:00,2011-12-09 08:48:00
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,30,0.12,3,1,2010-12-05 16:41:00,2011-03-28 14:27:00
16011,ANIMAL STICKERS,372.33,1773,0.21,38,3,2010-12-05 12:53:00,2011-12-07 12:41:00
16012,FOOD/DRINK SPONGE STICKERS,261.24,1244,0.21,33,5,2010-12-02 13:32:00,2011-12-05 14:49:00
16014,SMALL CHINESE STYLE SCISSOR,4335.76,13328,0.4014814814814815,34,5,2010-12-01 12:15:00,2011-12-09 08:48:00
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,662,0.48833333333333334,19,1,2010-12-09 14:10:00,2011-11-17 17:34:00
